iter	Passed	Remaining
231	48093	159205
232	48290	158966
233	48496	158754
234	48738	158659
235	48901	158308
236	49105	158089
237	49289	157808
238	49519	157674
239	49747	157532
240	49949	157308
241	50198	157232
242	50471	157231
243	50710	157119
244	50893	156834
245	51099	156623
246	51374	156620
247	51600	156467
248	51811	156266
249	52031	156095
250	52267	155970
251	52485	155788
252	52687	155563
253	52886	155328
254	53084	155089
255	53294	154888
256	53557	154837
257	53784	154682
258	54011	154526
259	54255	154419
260	54461	154204
261	54670	153995
262	54922	153908
263	55124	153681
264	55318	153431
265	55499	153145
266	55698	152909
267	55909	152708
268	56097	152442
269	56333	152308
270	56569	152173
271	56787	151990
272	57005	151806
273	57242	151670
274	57427	151399
275	57604	151107
276	57809	150888
277	58000	150634
278	58188	150372
279	58382	150126
280	58579	149889
281	58782	149665
282	58954	149365
283	59155	149138
284	59348	148891
285	59569	148716
286	59752	148445
287	59930	148161
288	60119	147905
289	60298	147626
290	60492	147384
291	60740	147276
292	60923	147007
293	61141	146822
294	61322	146550
295	61522	146323
296	61704	146054
297	61922	145870
298	62165	145746
299	62400	145600
300	62655	145502
301	62877	145325
302	63092	145132
303	63286	144892
304	63495	144686
305	63727	144531
306	63964	144388
307	64236	144324
308	64422	144065
309	64622	143837
310	64812	143588
311	65012	143360
312	65214	143138
313	65432	142951
314	65651	142765
315	65857	142552
316	66096	142409
317	66306	142205
318	66507	141980
319	66841	142037
320	67111	141958
321	67325	141759
322	67561	141606
323	67808	141477
324	67963	141155
325	68182	140965
326	68404	140783
327	68618	140583
328	68813	140346
329	69063	140219
330	69282	140030
331	69517	139872
332	69773	139757
333	69955	139491
334	70110	139175
335	70326	138979
336	70483	138666
337	70665	138403
338	70898	138241
339	71085	137989
340	71281	137755
341	71512	137588
342	71704	137347
343	71897	137107
344	72096	136879
345	72303	136666
346	72480	136396
347	72676	136163
348	72900	135983
349	73129	135812
350	73389	135697
351	73625	135537
352	73836	135332
353	74032	135098
354	74223	134856
355	74415	134615
356	74616	134393
357	74792	134125
358	74992	133900
359	75171	133638
360	75370	133411
361	75574	133194
362	75775	132972
363	75909	132633
364	76127	132441
365	76373	132297
366	76568	132064
367	76789	131878
368	77041	131743
369	77248	131531
370	77503	131400
371	77718	131202
372	77924	130988
373	78141	130792
374	78439	130733
375	78820	130809
376	79072	130669
377	79260	130422
378	79487	130241
379	79692	130024
380	79936	129871
381	80218	129778
382	80441	129588
383	80660	129392
384	80865	129173
385	81129	129050
386	81332	128829
387	81538	128612
388	81752	128407
389	81919	128130
390	82111	127892
391	82311	127666
392	82525	127463
393	82742	127264
394	82955	127057
395	83183	126875
396	83411	126693
397	83571	126407
398	83771	126182
399	84026	126040
400	84320	125954
401	84560	125789
402	84798	125619
403	85026	125435
404	85270	125273
405	85479	125060
406	85710	124880
407	85913	124658
408	86073	124374
409	86264	124137
410	86444	123883
411	86672	123697
412	86896	123507
413	87079	123257
414	87281	123035
415	87475	122802
416	87676	122579
417	87881	122361
418	88124	122196
419	88319	121965
420	88522	121744
421	88743	121549
422	88948	121331
423	89153	121113
424	89362	120901
425	89594	120721
426	89816	120526
427	90013	120297
428	90212	120072
429	90433	119877
430	90637	119658
431	90766	119341
432	90954	119102
433	91137	118856
434	91302	118588
435	91489	118349
436	91686	118122
437	91885	117898
438	92082	117672
439	92265	117429
440	92453	117191
441	92633	116944
442	92840	116731
443	93039	116508
444	93245	116294
445	93425	116048
446	93660	115871
447	93854	115642
448	94053	115419
449	94259	115205
450	94459	114984
451	94652	114755
452	94852	114534
453	95103	114375
454	95400	114270
455	95639	114095
456	95828	113862
457	96035	113648
458	96236	113428
459	96428	113198
460	96611	112958
461	96811	112736
462	97008	112512
463	97232	112319
464	97402	112065
465	97599	111841
466	97826	111651
467	98046	111454
468	98233	111219
469	98415	110978
470	98617	110761
471	98816	110540
472	99010	110313
473	99174	110054
474	99390	109852
475	99577	109619
476	99812	109438
477	100028	109236
478	100242	109032
479	100587	108969
480	100795	108758
481	101032	108578
482	101238	108364
483	101468	108177
484	101745	108039
485	101914	107785
486	102139	107592
487	102333	107365
488	102530	107142
489	102799	106995
490	103078	106857
491	103335	106695
492	103604	106546
493	103878	106401
494	104127	106231
495	104383	106066
496	104578	105841
497	104828	105670
498	105041	105462
499	105314	105314
500	105780	105358
501	106284	105437
502	106595	105323
503	106861	105165
504	107109	104988
505	107382	104835
506	107653	104680
507	107866	104468
508	108091	104269
509	108346	104097
510	108625	103948
511	108861	103758
512	109150	103618
513	109343	103386
514	109609	103224
515	109890	103075
516	110198	102951
517	110505	102825
518	110797	102685
519	111042	102500
520	111310	102336
521	111634	102224
522	111990	102140
523	112224	101944
524	112475	101763
525	112721	101577
526	112948	101375
527	113186	101182
528	113419	100984
529	113660	100793
530	113950	100645
531	114224	100483
532	114478	100303
533	114699	100093
534	114960	99918
535	115195	99721
536	115400	99498
537	115644	99307
538	115860	99094
539	116062	98867
540	116258	98636
541	116501	98446
542	116754	98263
543	117034	98102
544	117345	97967
545	117612	97794
546	117827	97579
547	118022	97347
548	118226	97122
549	118416	96886
550	118626	96666
551	118834	96445
552	119108	96277
553	119347	96081
554	119567	95869
555	119776	95648
556	120054	95482
557	120401	95371
558	120725	95241
559	120952	95034
560	121188	94834
561	121446	94650
562	121679	94447
563	121995	94308
564	122229	94106
565	122487	93921
566	122749	93739
567	123000	93550
568	123210	93328
569	123424	93109
570	123640	92892
571	123913	92718
572	124161	92525
573	124402	92326
574	124614	92106
575	124854	91906
576	125070	91689
577	125296	91479
578	125502	91254
579	125744	91056
580	125941	90825
581	126191	90632
582	126378	90394
583	126560	90152
584	126773	89933
585	126999	89723
586	127195	89491
587	127398	89265
588	127616	89050
589	127865	88855
590	128166	88697
591	128459	88532
592	128722	88347
593	128942	88132
594	129200	87943
595	129385	87704
596	129610	87492
597	129841	87284
598	130101	87096
599	130312	86874
600	130557	86675
601	130833	86497
602	131074	86296
603	131300	86084
604	131509	85861
605	131746	85656
606	131998	85461
607	132237	85258
608	132499	85069
609	132700	84841
610	132901	84613
611	133158	84420
612	133401	84218
613	133680	84040
614	133935	83845
615	134147	83624
616	134372	83410
617	134593	83195
618	134825	82986
619	135053	82774
620	135250	82543
621	135456	82319
622	135712	82124
623	135927	81905
624	136136	81681
625	136334	81452
626	136554	81235
627	136776	81020
628	136994	80802
629	137204	80580
630	137409	80354
631	137613	80129
632	137806	79897
633	138086	79715
634	138295	79492
635	138499	79267
636	138684	79030
637	138878	78799
638	139108	78588
639	139435	78432
640	139708	78245
641	139931	78030
642	140162	77819
643	140298	77556
644	140531	77346
645	140742	77125
646	140959	76906
647	141195	76698
648	141393	76470
649	141598	76245
650	141799	76018
651	141989	75785
652	142201	75564
653	142402	75338
654	142588	75104
655	142799	74882
656	142966	74638
657	143179	74418
658	143414	74210
659	143696	74025
660	143948	73825
661	144188	73619
662	144415	73405
663	144674	73208
664	145033	73062
665	145361	72899
666	145593	72687
667	145786	72456
668	145977	72225
669	146161	71990
670	146357	71760
671	146537	71524
672	146730	71293
673	146906	71055
674	147124	70837
675	147318	70608
676	147558	70400
677	147754	70172
678	147946	69942
679	148136	69711
680	148355	69493
681	148560	69269
682	148737	69033
683	148921	68800
684	149093	68561
685	149291	68334
686	149489	68107
687	149681	67878
688	149838	67633
689	150096	67434
690	150325	67222
691	150520	66994
692	150689	66755
693	150872	66522
694	151189	66349
695	151483	66164
696	151689	65942
697	151919	65730
698	152156	65520
699	152422	65323
700	152685	65125
701	152868	64892
702	153093	64678
703	153323	64465
704	153507	64233
705	153723	64015
706	153941	63797
707	154131	63568
708	154346	63349
709	154776	63218
710	154993	63000
711	155190	62773
712	155472	62581
713	155677	62358
714	155933	62155
715	156187	61951
716	156411	61735
717	156665	61531
718	156872	61308
719	157066	61081
720	157350	60888
721	157543	60660
722	157816	60463
723	158069	60258
724	158318	60051
725	158506	59822
726	158734	59607
727	158942	59385
728	159188	59177
729	159395	58954
730	159692	58764
731	159987	58574
732	160210	58357
733	160408	58131
734	160637	57916
735	160903	57715
736	161139	57503
737	161455	57318
738	161688	57104
739	161930	56894
740	162159	56679
741	162351	56450
742	162575	56234
743	162758	56002
744	162954	55776
745	163164	55554
746	163366	55330
747	163594	55114
748	163831	54901
749	164043	54681
750	164278	54467
751	164499	54249
752	164722	54032
753	164946	53815
754	165158	53594
755	165396	53381
756	165674	53182
757	165869	52955
758	166088	52736
759	166286	52511
760	166567	52312
761	166813	52102
762	167075	51896
763	167284	51674
764	167514	51458
765	167747	51244
766	167957	51022
767	168168	50800
768	168339	50567
769	168560	50349
770	168771	50128
771	168990	49909
772	169216	49692
773	169411	49466
774	169624	49245
775	169840	49026
776	170031	48799
777	170228	48574
778	170375	48334
779	170620	48123
780	170826	47901
781	171049	47683
782	171299	47473
783	171505	47251
784	171725	47033
785	171992	46827
786	172216	46610
787	172485	46404
788	172688	46181
789	172914	45964
790	173115	45740
791	173372	45532
792	173634	45324
793	173864	45108
794	174049	44880
795	174269	44661
796	174485	44442
797	174699	44222
798	174906	44000
799	175108	43777
800	175311	43554
801	175517	43332
802	175759	43119
803	176010	42908
804	176245	42693
805	176465	42474
806	176639	42244
807	176868	42028
808	177116	41816
809	177407	41614
810	177645	41399
811	177896	41187
812	178118	40969
813	178358	40755
814	178625	40546
815	178914	40343
816	179183	40135
817	179401	39915
818	179597	39691
819	179816	39472
820	180025	39250
821	180243	39030
822	180462	38811
823	180658	38587
824	180886	38369
825	181095	38148
826	181311	37928
827	181576	37718
828	181812	37503
829	182009	37279
830	182218	37057
831	182441	36839
832	182634	36614
833	182924	36409
834	183200	36201
835	183426	35983
836	183620	35758
837	183875	35546
838	184079	35323
839	184297	35104
840	184518	34885
841	184731	34664
842	184910	34437
843	185126	34217
844	185321	33993
845	185551	33776
846	185763	33555
847	185975	33335
848	186189	33114
849	186400	32894
850	186623	32675
851	186831	32454
852	187027	32231
853	187243	32011
854	187438	31787
855	187661	31569
856	187911	31355
857	188184	31144
858	188440	30931
859	188707	30719
860	188978	30508
861	189189	30287
862	189406	30068
863	189642	29851
864	189915	29639
865	190115	29417
866	190344	29199
867	190569	28980
868	190793	28761
869	191005	28541
870	191196	28317
871	191412	28097
872	191636	27878
873	191885	27663
874	192095	27442
875	192314	27222
876	192538	27003
877	192780	26787
878	193018	26570
879	193221	26348
880	193439	26128
881	193641	25906
882	193890	25690
883	194037	25461
884	194288	25246
885	194518	25028
886	194734	24808
887	194991	24593
888	195259	24379
889	195500	24162
890	195727	23944
891	195925	23721
892	196182	23506
893	196369	23283
894	196578	23062
895	196742	22836
896	196960	22616
897	197125	22390
898	197372	22174
899	197592	21954
900	197807	21734
901	198015	21513
902	198240	21294
903	198455	21074
904	198664	20854
905	198899	20636
906	199108	20415
907	199338	20197
908	199581	19980
909	199886	19769
910	200128	19551
911	200347	19331
912	200530	19108
913	200725	18886
914	200920	18664
915	201086	18440
916	201323	18222
917	201554	18003
918	201763	17783
919	202005	17565
920	202262	17349
921	202465	17128
922	202649	16905
923	202896	16688
924	203079	16465
925	203286	16245
926	203484	16024
927	203738	15807
928	203997	15590
929	204271	15375
930	204589	15162
931	204878	14948
932	205112	14729
933	205315	14508
934	205463	14283
935	205812	14072
936	206075	13855
937	206298	13635
938	206527	13416
939	206816	13201
940	207108	12985
941	207345	12766
942	207535	12544
943	207727	12322
944	207942	12102
945	208135	11880
946	208350	11660
947	208575	11440
948	208816	11221
949	209002	11000
950	209200	10779
951	209484	10562
952	209705	10342
953	209932	10122
954	210211	9905
955	210456	9686
956	210718	9468
957	210944	9248
958	211160	9027
959	211358	8806
960	211554	8585
961	211833	8367
962	212009	8145
963	212185	7923
964	212433	7704
965	212678	7485
966	212864	7264
967	213081	7044
968	213240	6821
969	213449	6601
970	213666	6381
971	213875	6161
972	214096	5941
973	214313	5720
974	214475	5499
975	214678	5278
976	214921	5059
977	215120	4839
978	215322	4618
979	215533	4398
980	215809	4179
981	216042	3960
982	216315	3740
983	216606	3522
984	216811	3301
985	217048	3081
986	217278	2861
987	217489	2641
988	217724	2421
989	217931	2201
990	218158	1981
991	218346	1760
992	218520	1540
993	218705	1320
994	218938	1100
995	219162	880
996	219319	659
997	219532	439
998	219735	219
999	219935	0
