iter	RMSE
425	24076.64319
426	24076.29408
427	24074.81032
428	24074.30186
429	24073.76836
430	24072.63502
431	24071.60451
432	24071.38034
433	24070.14369
434	24069.0583
435	24068.27867
436	24067.32258
437	24066.59071
438	24065.82247
439	24064.69433
440	24064.37576
441	24063.07423
442	24062.67242
443	24061.31474
444	24060.09019
445	24058.8951
446	24056.70252
447	24056.24502
448	24056.06219
449	24055.2048
450	24054.28896
451	24053.74343
452	24053.14423
453	24052.75374
454	24052.12144
455	24050.99276
456	24050.59344
457	24049.98626
458	24048.85305
459	24048.63879
460	24047.43258
461	24047.0029
462	24045.83836
463	24044.80065
464	24043.22739
465	24042.47399
466	24041.6748
467	24040.98267
468	24040.21212
469	24039.57636
470	24038.00182
471	24037.09335
472	24036.01723
473	24035.15869
474	24033.61829
475	24033.43397
476	24032.57029
477	24031.95828
478	24031.68225
479	24030.87513
480	24030.16586
481	24029.49849
482	24029.15677
483	24028.18308
484	24026.85675
485	24026.44153
486	24025.39307
487	24025.07279
488	24024.00656
489	24022.70362
490	24021.83789
491	24021.26007
492	24020.68383
493	24020.15888
494	24019.45984
495	24019.14596
496	24018.27265
497	24017.70839
498	24016.73954
499	24016.24921
500	24014.89828
501	24014.19978
502	24013.95727
503	24013.57698
504	24013.21296
505	24012.48932
506	24011.38498
507	24010.82524
508	24010.48504
509	24010.38764
510	24010.12016
511	24009.32986
512	24008.31384
513	24007.86265
514	24006.762
515	24005.72395
516	24005.36194
517	24003.94254
518	24003.5726
519	24003.09814
520	24002.72288
521	24001.84739
522	24001.50727
523	24000.48303
524	24000.28101
525	23999.77047
526	23999.28133
527	23998.35781
528	23998.08322
529	23997.54908
530	23996.69471
531	23996.35927
532	23995.43314
533	23994.61321
534	23993.87106
535	23993.02888
536	23992.47975
537	23991.35437
538	23990.22076
539	23989.40437
540	23988.2015
541	23987.29722
542	23986.47844
543	23985.47117
544	23984.4577
545	23983.71447
546	23982.92899
547	23982.15899
548	23981.35035
549	23980.27196
550	23979.36191
551	23978.11908
552	23977.18266
553	23976.94773
554	23976.28758
555	23975.08266
556	23974.41462
557	23973.62945
558	23973.56455
559	23973.1613
560	23972.51572
561	23971.86168
562	23971.34336
563	23970.58889
564	23970.0269
565	23968.63315
566	23968.17037
567	23967.39881
568	23966.13294
569	23965.51838
570	23965.33246
571	23964.70009
572	23963.08954
573	23962.27143
574	23961.57868
575	23960.79573
576	23959.30132
577	23958.89521
578	23958.46131
579	23957.39671
580	23956.07957
581	23955.84953
582	23955.57346
583	23954.705
584	23954.3591
585	23953.35077
586	23952.71874
587	23952.36563
588	23951.87888
589	23951.19627
590	23950.18801
591	23948.51151
592	23947.87512
593	23946.5664
594	23946.28226
595	23945.93147
596	23945.39144
597	23944.68644
598	23943.79913
599	23943.756
600	23942.71424
601	23942.26663
602	23941.51888
603	23940.81955
604	23940.45105
605	23939.83502
606	23938.59958
607	23937.49062
608	23936.8469
609	23936.28143
610	23935.63577
611	23934.99916
612	23934.73235
613	23934.33391
614	23934.28348
615	23933.95229
616	23933.54539
617	23933.22854
618	23932.46862
619	23931.78329
620	23930.93182
621	23930.33609
622	23929.85432
623	23929.10361
624	23928.84121
625	23928.41604
626	23927.9095
627	23927.3585
628	23926.91982
629	23925.71599
630	23924.80876
631	23923.82012
632	23923.04439
633	23922.81223
634	23922.57179
635	23921.87563
636	23921.70117
637	23921.49748
638	23921.42229
639	23920.87381
640	23920.82715
641	23920.02895
642	23919.75117
643	23919.70721
644	23918.30602
645	23917.87367
646	23916.95742
647	23916.05539
648	23915.62944
649	23915.22842
650	23914.1299
651	23913.5557
652	23912.76484
653	23911.93031
654	23911.01833
655	23910.20448
656	23909.17002
657	23908.62468
658	23908.24793
659	23907.57384
660	23906.91347
661	23905.73572
662	23904.9416
663	23903.87917
664	23903.14695
665	23902.69174
666	23902.37649
667	23901.85938
668	23901.81714
669	23901.39119
670	23900.34882
671	23900.01789
672	23899.73082
673	23899.2573
674	23898.12524
675	23897.82985
676	23897.5393
677	23897.26653
678	23897.12716
679	23896.50405
680	23896.30448
681	23895.70559
682	23895.67254
683	23894.78269
684	23894.18766
685	23893.6396
686	23892.56661
687	23892.47604
688	23891.95275
689	23891.03432
690	23889.71344
691	23889.42812
692	23889.38929
693	23889.37375
694	23889.00953
695	23888.70964
696	23888.05791
697	23886.77654
698	23885.79943
699	23884.67217
700	23883.78694
701	23883.7673
702	23883.0954
703	23881.95179
704	23881.48557
705	23880.59371
706	23880.38194
707	23880.35534
708	23880.21444
709	23879.6825
710	23878.49781
711	23878.27209
712	23877.82054
713	23877.78515
714	23877.39838
715	23876.92483
716	23876.64557
717	23875.92833
718	23875.54272
719	23875.49829
720	23875.17771
721	23875.16026
722	23874.20949
723	23873.36102
724	23871.9948
725	23871.73294
726	23870.85988
727	23868.97283
728	23868.31799
729	23867.86131
730	23867.05147
731	23866.84958
732	23866.17562
733	23865.22333
734	23865.06861
735	23864.41162
736	23864.01856
737	23863.45919
738	23863.07
739	23861.85825
740	23860.89662
741	23860.24273
742	23859.92136
743	23859.90411
744	23858.95938
745	23858.52694
746	23857.98075
747	23857.2689
748	23855.54096
749	23855.29159
750	23854.52856
751	23854.47199
752	23854.26761
753	23853.52764
754	23852.99291
755	23852.39818
756	23851.8894
757	23851.51129
758	23851.23632
759	23849.99086
760	23849.77853
761	23849.05443
762	23848.44623
763	23847.88473
764	23847.05877
765	23845.69542
766	23845.42634
767	23845.39052
768	23844.71114
769	23843.57255
770	23842.80994
771	23842.05314
772	23841.83737
773	23840.60125
774	23839.86704
775	23838.97891
776	23837.49152
777	23836.87221
778	23834.81233
779	23834.10539
780	23833.33744
781	23832.31951
782	23831.92264
783	23831.58013
784	23830.88726
785	23830.08651
786	23829.86528
787	23828.88306
788	23828.12084
789	23827.85277
790	23827.53192
791	23827.25963
792	23826.58665
793	23825.5747
794	23824.34813
795	23823.57216
796	23822.75128
797	23821.89534
798	23821.69487
799	23821.19483
800	23820.3863
801	23819.95244
802	23819.26056
803	23818.48383
804	23817.78585
805	23816.20675
806	23815.57598
807	23815.45111
808	23814.85109
809	23814.32218
810	23813.64196
811	23813.57817
812	23812.53581
813	23811.49462
814	23811.44753
815	23810.67111
816	23809.782
817	23809.34478
818	23809.30953
819	23808.74208
820	23808.04823
821	23807.35479
822	23807.04837
823	23806.61714
824	23806.33676
825	23805.54434
826	23805.31194
827	23804.99249
828	23803.80469
829	23803.52714
830	23802.82765
831	23802.49772
832	23801.51518
833	23801.06042
834	23800.68033
835	23799.43831
836	23799.02159
837	23798.45272
838	23797.66744
839	23797.21843
840	23796.48353
841	23795.76269
842	23795.13214
843	23794.39768
844	23793.50817
845	23793.09379
846	23792.78777
847	23792.52388
848	23792.47603
849	23792.08021
850	23791.68426
851	23790.85692
852	23790.4102
853	23789.70706
854	23789.65285
855	23789.04404
856	23789.00254
857	23788.82907
858	23788.45369
859	23788.06551
860	23787.70532
861	23787.1032
862	23786.86977
863	23785.82611
864	23785.20628
865	23784.2771
866	23783.35462
867	23782.7511
868	23782.30503
869	23781.32804
870	23781.09743
871	23780.32725
872	23780.17774
873	23779.1173
874	23778.57106
875	23778.41669
876	23777.81394
877	23776.66785
878	23776.30029
879	23775.82724
880	23775.63181
881	23775.45393
882	23774.87153
883	23774.80785
884	23774.31245
885	23774.13817
886	23774.01143
887	23773.75783
888	23773.52721
889	23772.75656
890	23772.24158
891	23771.72013
892	23771.41245
893	23771.16558
894	23770.79492
895	23770.46705
896	23769.98949
897	23769.15053
898	23768.90982
899	23768.85148
900	23768.29016
901	23767.52815
902	23767.27578
903	23766.67391
904	23766.25826
905	23765.93298
906	23765.20809
907	23764.88926
908	23764.13388
909	23763.60817
910	23763.17186
911	23762.40549
912	23761.63749
913	23760.87023
914	23760.2129
915	23760.13353
916	23759.5556
917	23759.20823
918	23758.87096
919	23758.51838
920	23757.64278
921	23757.57297
922	23757.45539
923	23756.89866
924	23756.45035
925	23755.49255
926	23755.1448
927	23754.98295
928	23754.58189
929	23753.80584
930	23753.18242
931	23752.83479
932	23752.2934
933	23751.97055
934	23750.78311
935	23750.30919
936	23749.29789
937	23749.1177
938	23748.59892
939	23747.84902
940	23747.5203
941	23747.43388
942	23747.34385
943	23746.44816
944	23746.15462
945	23745.86668
946	23745.5249
947	23744.7419
948	23744.22387
949	23743.06415
950	23742.66811
951	23742.09734
952	23741.74498
953	23741.27577
954	23740.83041
955	23739.95563
956	23739.31843
957	23738.97326
958	23738.47646
959	23738.09369
960	23738.02974
961	23737.66649
962	23737.59876
963	23736.1914
964	23735.63524
965	23735.24701
966	23734.76529
967	23733.80856
968	23733.40437
969	23733.1824
970	23732.41114
971	23731.95319
972	23731.64083
973	23730.84857
974	23730.3332
975	23729.27742
976	23728.55431
977	23728.24604
978	23728.18421
979	23727.75223
980	23727.34958
981	23726.64346
982	23725.80966
983	23724.6454
984	23723.61062
985	23723.29957
986	23722.81465
987	23722.31602
988	23721.84536
989	23721.58643
990	23721.20931
991	23720.98785
992	23720.7417
993	23720.05036
994	23719.8872
995	23719.00411
996	23718.52378
997	23718.2003
998	23717.58451
999	23717.34214
